algorithm,df
p35pf_double,1.03801e-14
p35pf_double,2.52065e-13
p35pf_double,9.53602e-14
p35pf_double,1.08775e-15
p35pf_double,3.70515e-13
p35pf_double,3.04059e-11
p35pf_double,3.9528e-16
p35pf_double,3.59048e-15
p35pf_double,2.80041e-14
p35pf_double,3.98343e-14
p35pf_double,2.33281e-13
p35pf_double,1.91525e-16
p35pf_double,1.26202e-15
p35pf_double,3.85966e-14
p35pf_double,2.83638e-12
p35pf_double,1.5494e-15
p35pf_double,3.90719e-16
p35pf_double,6.81408e-14
p35pf_double,2.90657e-15
p35pf_double,4.77696e-12
p35pf_double,5.7589e-13
p35pf_double,1.08061e-14
p35pf_double,9.02248e-14
p35pf_double,8.22767e-15
p35pf_double,8.63389e-16
p35pf_double,2.0755e-14
p35pf_double,4.15804e-14
p35pf_double,1.21578e-12
p35pf_double,6.36559e-15
p35pf_double,3.48206e-15
p35pf_double,4.00001e-12
p35pf_double,1.67914e-14
p35pf_double,9.14868e-15
p35pf_double,3.35692e-14
p35pf_double,1.79661e-14
p35pf_double,2.63934e-14
p35pf_double,4.43569e-16
p35pf_double,2.74453e-14
p35pf_double,1.56795e-13
p35pf_double,1.61684e-14
p35pf_double,1.67915e-15
p35pf_double,1.38263e-14
p35pf_double,1.84061e-15
p35pf_double,4.68552e-10
p35pf_double,3.65661e-15
p35pf_double,9.93533e-14
p35pf_double,6.60375e-14
p35pf_double,5.36279e-15
p35pf_double,6.44282e-14
p35pf_double,5.39646e-13
p35pf_double,1.50058e-13
p35pf_double,6.12003e-14
p35pf_double,5.10666e-13
p35pf_double,1.01369e-14
p35pf_double,3.01917e-13
p35pf_double,4.71528e-16
p35pf_double,8.40335e-15
p35pf_double,1.68244e-14
p35pf_double,1.90128e-14
p35pf_double,8.03821e-15
p35pf_double,5.41805e-13
p35pf_double,4.05797e-13
p35pf_double,1.54659e-15
p35pf_double,2.77577e-13
p35pf_double,5.34652e-15
p35pf_double,2.70203e-15
p35pf_double,2.04903e-12
p35pf_double,6.03829e-15
p35pf_double,2.5455e-14
p35pf_double,6.1895e-15
p35pf_double,8.89188e-14
p35pf_double,4.38941e-14
p35pf_double,2.97992e-14
p35pf_double,8.20391e-15
p35pf_double,2.19773e-14
p35pf_double,1.68482e-16
p35pf_double,2.0982e-11
p35pf_double,3.20366e-14
p35pf_double,1.24595e-13
p35pf_double,7.24261e-14
p35pf_double,3.95652e-13
p35pf_double,5.49601e-13
p35pf_double,2.31141e-14
p35pf_double,9.20768e-12
p35pf_double,1.54403e-13
p35pf_double,5.65559e-13
p35pf_double,1.18245e-09
p35pf_double,1.50524e-14
p35pf_double,6.28916e-16
p35pf_double,1.53219e-12
p35pf_double,1.47504e-14
p35pf_double,1.47292e-15
p35pf_double,3.07252e-13
p35pf_double,3.41108e-14
p35pf_double,1.3618e-13
p35pf_double,2.64341e-14
p35pf_double,1.23583e-14
p35pf_double,1.7333e-16
p35pf_double,1.16838e-14
p35pf_double,2.27293e-14
p35pf_double,1.87265e-16
p35pf_double,2.33537e-14
p35pf_double,3.86983e-15
p35pf_double,9.12541e-14
p35pf_double,8.07873e-15
p35pf_double,5.79589e-15
p35pf_double,1.55839e-15
p35pf_double,1.13607e-14
p35pf_double,1.2756e-14
p35pf_double,1.2904e-15
p35pf_double,4.15459e-15
p35pf_double,8.80608e-15
p35pf_double,7.20214e-15
p35pf_double,2.19973e-13
p35pf_double,1.66184e-14
p35pf_double,5.26919e-14
p35pf_double,5.63244e-15
p35pf_double,9.18676e-14
p35pf_double,1.75532e-16
p35pf_double,2.04401e-16
p35pf_double,8.30739e-15
p35pf_double,5.94619e-14
p35pf_double,1.34767e-15
p35pf_double,5.7489e-14
p35pf_double,6.38331e-15
p35pf_double,1.31145e-13
p35pf_double,2.62172e-15
p35pf_double,3.11719e-15
p35pf_double,6.83127e-14
p35pf_double,1.05765e-13
p35pf_double,2.09775e-14
p35pf_double,7.40097e-14
p35pf_double,1.93586e-12
p35pf_double,8.94423e-14
p35pf_double,2.79697e-15
p35pf_double,1.07667e-11
p35pf_double,6.48468e-15
p35pf_double,1.37226e-11
p35pf_double,2.30285e-13
p35pf_double,1.71744e-13
p35pf_double,9.40627e-13
p35pf_double,1.85726e-15
p35pf_double,1.36616e-14
p35pf_double,3.0718e-14
p35pf_double,5.79285e-15
p35pf_double,6.58112e-12
p35pf_double,8.43894e-16
p35pf_double,5.90732e-13
p35pf_double,3.99031e-15
p35pf_double,3.89848e-15
p35pf_double,1.07221e-14
p35pf_double,4.16338e-15
p35pf_double,3.97522e-13
p35pf_double,8.38422e-15
p35pf_double,5.31385e-15
p35pf_double,1.72956e-15
p35pf_double,3.94216e-15
p35pf_double,8.33362e-15
p35pf_double,7.87517e-15
p35pf_double,5.18504e-15
p35pf_double,6.36569e-15
p35pf_double,5.86486e-15
p35pf_double,6.04435e-15
p35pf_double,4.22671e-15
p35pf_double,2.13502e-16
p35pf_double,1.0922e-14
p35pf_double,4.2589e-15
p35pf_double,2.49871e-13
p35pf_double,3.03421e-15
p35pf_double,7.09481e-14
p35pf_double,3.18208e-14
p35pf_double,2.86981e-14
p35pf_double,3.82672e-14
p35pf_double,4.48212e-14
p35pf_double,1.80338e-12
p35pf_double,8.89623e-10
p35pf_double,1.88387e-15
p35pf_double,4.0351e-16
p35pf_double,6.42699e-15
p35pf_double,6.78645e-16
p35pf_double,5.68303e-14
p35pf_double,2.21431e-14
p35pf_double,5.24543e-15
p35pf_double,1.65117e-11
p35pf_double,4.75379e-16
p35pf_double,0
p35pf_double,5.22917e-15
p35pf_double,2.48348e-14
p35pf_double,3.74284e-15
p35pf_double,1.10102e-14
p35pf_double,1.83199e-13
p35pf_double,3.93845e-14
p35pf_double,7.13995e-15
p35pf_double,4.61999e-14
p35pf_double,2.1651e-15
p35pf_double,4.07432e-12
p35pf_double,1.31299e-13
p35pf_double,1.47874e-11
p35pf_double,4.5075e-14
p35pf_double,2.31462e-15
p35pf_double,8.7398e-15
p35pf_double,3.42237e-12
p35pf_double,3.43067e-12
p35pf_double,1.20717e-08
p35pf_double,2.14231e-14
p35pf_double,1.15861e-15
p35pf_double,8.81005e-14
