algorithm,df
p35pf_double,3.2276e-15
p35pf_double,1.22544e-13
p35pf_double,2.4323e-12
p35pf_double,2.32281e-13
p35pf_double,1.16954e-13
p35pf_double,8.61657e-11
p35pf_double,3.36245e-13
p35pf_double,1.55438e-13
p35pf_double,8.11537e-13
p35pf_double,5.00194e-14
p35pf_double,2.08091e-13
p35pf_double,8.30811e-14
p35pf_double,8.45878e-13
p35pf_double,2.80369e-13
p35pf_double,7.2836e-14
p35pf_double,8.82426e-14
p35pf_double,4.12109e-12
p35pf_double,3.31852e-13
p35pf_double,1.21596e-13
p35pf_double,1.64102e-13
p35pf_double,7.23181e-14
p35pf_double,6.83996e-14
p35pf_double,2.97582e-12
p35pf_double,2.35407e-14
p35pf_double,9.87164e-13
p35pf_double,2.37772e-12
p35pf_double,1.94701e-09
p35pf_double,2.10709e-13
p35pf_double,1.00372e-12
p35pf_double,2.93411e-16
p35pf_double,4.81699e-14
p35pf_double,5.63378e-14
p35pf_double,7.94147e-13
p35pf_double,1.00373e-13
p35pf_double,1.18108e-14
p35pf_double,2.01418e-14
p35pf_double,7.5535e-14
p35pf_double,1.0693e-13
p35pf_double,8.15479e-14
p35pf_double,7.11904e-14
p35pf_double,3.92072e-15
p35pf_double,2.37402e-13
p35pf_double,1.29034e-13
p35pf_double,2.01868e-14
p35pf_double,1.02504e-12
p35pf_double,2.73577e-12
p35pf_double,1.42905e-14
p35pf_double,3.38692e-13
p35pf_double,3.93214e-13
p35pf_double,3.24415e-14
p35pf_double,1.50809e-10
p35pf_double,1.01341e-12
p35pf_double,2.18516e-14
p35pf_double,8.25232e-14
p35pf_double,1.18266e-14
p35pf_double,1.04374e-12
p35pf_double,8.59406e-14
p35pf_double,3.10528e-15
p35pf_double,6.79278e-13
p35pf_double,1.44324e-14
p35pf_double,3.40015e-12
p35pf_double,1.58979e-12
p35pf_double,1.19244e-12
p35pf_double,4.24777e-13
p35pf_double,5.94612e-14
p35pf_double,5.03162e-10
p35pf_double,5.84413e-13
p35pf_double,3.05375e-13
p35pf_double,3.94282e-13
p35pf_double,2.68255e-14
p35pf_double,8.76471e-13
p35pf_double,4.97967e-13
p35pf_double,2.7083e-13
p35pf_double,4.47743e-14
