f,algo
0.0018907357,p35p
0.0012390104,p35p
0.0018668681,p35p
0.0018361197,p35p
0.0015579198,p35p
0.0010674093,p35p
0.0014056419,p35p
0.0015359566,p35p
0.0016882345,p35p
0.0016472366,p35p
0.0006003262,p35p
0.0007452830,p35p
0.0007101420,p35p
0.0007526041,p35p
0.0007247841,p35p
0.0008097083,p35p
0.0006911073,p35p
0.0007599251,p35p
0.0006823220,p35p
0.0008126367,p35p
0.0008023872,p35p
0.0008155651,p35p
0.0008902399,p35p
0.0012152946,p35p
0.0020206102,p35p
0.0016135598,p35p
0.0018522260,p35p
0.0023515218,p35p
0.0029987027,p35p
0.0016794492,p35p
0.0013514661,p35p
0.0016560219,p35p
0.0017834082,p35p
0.0010559415,p35p
0.0014967714,p35p
0.0015992900,p35p
0.0026387080,p35p
0.0024643858,p35p
0.0022563078,p35p
0.0026328474,p35p
0.0017003440,p35p
0.0028101288,p35p
0.0023999191,p35p
0.0050615655,p35p
0.0022621683,p35p
0.0010764452,p35p
0.0019312934,p35p
0.0005433485,p35p
0.0009885721,p35p
0.0004934389,p35p
0.0008640852,p35p
0.0024598733,p35p
0.0023119881,p35p
0.0013690366,p35p
0.0009226673,p35p
0.0008025741,p35p
0.0007996450,p35p
0.0008084323,p35p
0.0008948408,p35p
0.0008977699,p35p
0.0011362272,p35p
0.0014905661,p35p
0.0011289061,p35p
0.0010381251,p35p
0.0008770620,p35p
0.0007526041,p35p
0.0008433851,p35p
0.0008228862,p35p
0.0007906736,p35p
0.0039489752,p35p
0.0036795605,p35p
0.0039899731,p35p
0.0027441977,p35p
0.0029200139,p35p
0.0059718899,p35p
0.0026487564,p35p
0.0019991125,p4p
0.0012770887,p4p
0.0018624755,p4p
0.0017394818,p4p
0.0013353598,p4p
0.0010322683,p4p
0.0013456093,p4p
0.0014642103,p4p
0.0016267377,p4p
0.0016208808,p4p
0.0005695778,p4p
0.0007350336,p4p
0.0006954999,p4p
0.0007379620,p4p
0.0007072136,p4p
0.0007979946,p4p
0.0006808578,p4p
0.0007467473,p4p
0.0006603588,p4p
0.0008023872,p4p
0.0007906736,p4p
0.0008038515,p4p
0.0008770620,p4p
0.0011962598,p4p
0.0019942544,p4p
0.0015974534,p4p
0.0018302629,p4p
0.0023310228,p4p
0.0029738111,p4p
0.0016530934,p4p
0.0013119324,p4p
0.0016238092,p4p
0.0017526597,p4p
0.0010427605,p4p
0.0014865195,p4p
0.0015978254,p4p
0.0026709410,p4p
0.0024658510,p4p
0.0022621683,p4p
0.0026416383,p4p
0.0016725175,p4p
0.0024467753,p4p
0.0016277840,p4p
0.0051114043,p4p
0.0022020978,p4p
0.0012902697,p4p
0.0017921934,p4p
0.0008494397,p4p
0.0009871076,p4p
0.0004744041,p4p
0.0008216133,p4p
0.0024452312,p4p
0.0022255997,p4p
0.0014085703,p4p
0.0009124154,p4p
0.0007864640,p4p
0.0007923222,p4p
0.0008011095,p4p
0.0008831244,p4p
0.0008875181,p4p
0.0011040146,p4p
0.0014554250,p4p
0.0010996219,p4p
0.0010088409,p4p
0.0008492420,p4p
0.0007423546,p4p
0.0008302072,p4p
0.0008141009,p4p
0.0007818883,p4p
0.0039182268,p4p
0.0036693110,p4p
0.0039680099,p4p
0.0027441977,p4p
0.0029214790,p4p
0.0059836110,p4p
0.0040060794,p4p
0.0017940753,real
0.0011760347,real
0.0019181155,real
0.0019327576,real
0.0015798829,real
0.0011728325,real
0.0014847093,real
0.0016384513,real
0.0017482671,real
0.0017306966,real
0.0006735367,real
0.0008126367,real
0.0006808578,real
0.0007233199,real
0.0007745673,real
0.0007833525,real
0.0006691441,real
0.0007379620,real
0.0007262483,real
0.0007936020,real
0.0007833525,real
0.0008009230,real
0.0008726693,real
0.0012621493,real
0.0020733218,real
0.0016589503,real
0.0018932239,real
0.0023969123,real
0.0030484859,real
0.0017160545,real
0.0013573230,real
0.0016750566,real
0.0017878008,real
0.0010295795,real
0.0014704095,real
0.0015568180,real
0.0025288229,real
0.0024526646,real
0.0022709591,real
0.0026885226,real
0.0019624987,real
0.0010036174,real
0.0046804456,real
0.0016512071,real
0.0009168091,real
0.0019151871,real
0.0006312216,real
0.0015377788,real
0.0005241873,real
0.0007923222,real
0.0024408386,real
0.0022768470,real
0.0013646440,real
0.0008992345,real
0.0007820704,real
0.0007849995,real
0.0007864640,real
0.0008714080,real
0.0008714080,real
