f,R,t,algo
0.001665739909269,0.001346071172539,0.039028166098151,p35p
0.001665739909269,0.001346071172539,0.039028166098151,p35p
0.001576885171270,0.001274670553603,0.036947818651074,p4p
0.001576885171270,0.001274670553603,0.036947818651074,p4p
0.001681408348667,0.001344559112705,0.039187016670590,real
0.001681408348667,0.001344559112705,0.039187016670590,real
