R,t,algo
0.001574,0.102622,p35p
0.178319,3.541537,p35p
0.088706,1.473945,p35p
0.056263,1.028165,p35p
0.038655,1.148687,p35p
0.000692,0.068458,p35p
0.000715,0.078651,p35p
0.000990,0.093491,p35p
0.001116,0.105416,p35p
0.001254,0.097596,p35p
0.001545,0.115368,p35p
0.001590,0.127591,p35p
0.001717,0.136657,p35p
0.001534,0.112771,p35p
0.001648,0.083737,p35p
0.001617,0.068191,p35p
0.001722,0.068788,p35p
0.001677,0.075145,p35p
0.001117,0.054097,p35p
0.000364,0.071432,p35p
0.000458,0.072785,p35p
0.000836,0.070699,p35p
0.000731,0.059839,p35p
0.000612,0.047105,p35p
0.000404,0.032625,p35p
0.000857,0.065297,p35p
0.001175,0.062900,p35p
0.001173,0.064320,p35p
0.001275,0.039560,p35p
0.001404,0.041517,p35p
0.001504,0.049331,p35p
0.001573,0.102596,p4p
0.178319,3.540556,p4p
0.088706,1.473540,p4p
0.056262,1.027855,p4p
0.038655,1.148351,p4p
0.000692,0.068443,p4p
0.000715,0.078585,p4p
0.000993,0.093491,p4p
0.001119,0.105385,p4p
0.001257,0.097570,p4p
0.001544,0.115320,p4p
0.001590,0.127554,p4p
0.001718,0.136611,p4p
0.001534,0.112715,p4p
0.001649,0.083675,p4p
0.001618,0.068236,p4p
0.001721,0.068729,p4p
0.001677,0.075119,p4p
0.001115,0.054073,p4p
0.000367,0.071435,p4p
0.000452,0.072808,p4p
0.000831,0.070649,p4p
0.000725,0.059827,p4p
0.000603,0.047128,p4p
0.000422,0.032610,p4p
0.000856,0.065249,p4p
0.001175,0.062870,p4p
0.001173,0.064295,p4p
0.001275,0.039550,p4p
0.001404,0.041523,p4p
0.001505,0.049300,p4p
0.001572,0.102612,real
0.178319,3.541930,real
0.088705,1.474042,real
0.056261,1.028200,real
0.038654,1.148757,real
0.000693,0.068338,real
0.000715,0.078585,real
0.000992,0.093512,real
0.001115,0.105364,real
0.001250,0.097544,real
0.001542,0.115341,real
0.001588,0.127613,real
0.001718,0.136731,real
0.001534,0.112887,real
0.001647,0.083764,real
0.001614,0.068340,real
0.001717,0.068691,real
0.001678,0.075097,real
0.001116,0.054078,real
0.000366,0.071393,real
0.000460,0.072673,real
0.000837,0.070575,real
0.000731,0.059758,real
0.000613,0.046989,real
0.000400,0.032720,real
0.000862,0.065917,real
0.001168,0.062692,real
0.001168,0.064274,real
0.001269,0.039530,real
0.001402,0.041509,real
0.001502,0.049412,real
