0.181041,real
0.083211,real
0.083211,real
0.397245,real
3.926866,real
0.084031,real
0.084031,real
0.084031,real
0.082898,real
0.082898,real
0.084031,real
0.084031,real
0.084031,real
0.084031,real
0.083211,real
0.083211,real
0.083211,real
0.083211,real
0.083211,real
0.083211,real
0.084031,real
0.084031,real
0.083211,real
0.083211,real
0.083211,real
0.083211,real
0.083211,real
0.083211,real
0.084031,real
0.084031,real
0.084031,real
0.083211,real
0.083211,real
0.083211,real
0.083211,real
0.081604,real
0.181041,real
0.083211,real
0.083211,real
0.397245,real
3.926866,real
0.084031,real
0.084031,real
0.084031,real
0.082898,real
0.082898,real
0.084031,real
0.084031,real
0.084031,real
0.084031,real
0.083211,real
0.083211,real
0.083211,real
0.083211,real
0.083211,real
0.083211,real
0.084031,real
0.084031,real
0.083211,real
0.083211,real
0.083211,real
0.083211,real
0.083211,real
0.083211,real
0.084031,real
0.084031,real
0.084031,real
0.083211,real
0.083211,real
0.083211,real
0.083211,real
0.081604,real
0.013415,p35p
0.033849,p35p
0.004311,p35p
0.239278,p35p
3.987608,p35p
0.005420,p35p
0.012077,p35p
0.006881,p35p
0.006328,p35p
0.010404,p35p
0.032487,p35p
0.007395,p35p
0.009354,p35p
0.000166,p35p
0.013741,p35p
0.015381,p35p
0.002343,p35p
0.001698,p35p
0.005963,p35p
0.012480,p35p
0.039825,p35p
0.003284,p35p
0.002346,p35p
0.002499,p35p
0.001862,p35p
0.002954,p35p
0.000604,p35p
0.001390,p35p
0.012071,p35p
0.000864,p35p
0.003226,p35p
0.003399,p35p
0.001141,p35p
0.012210,p35p
0.012157,p35p
0.003656,p35p
0.032433,p4p
0.018047,p4p
0.002675,p4p
0.238160,p4p
11.116844,p4p
0.000436,p4p
0.004156,p4p
0.004431,p4p
0.006082,p4p
0.010014,p4p
0.001424,p4p
0.015257,p4p
0.004000,p4p
0.000820,p4p
0.007101,p4p
0.000153,p4p
0.003261,p4p
0.000308,p4p
0.003690,p4p
0.021581,p4p
0.046484,p4p
0.001201,p4p
0.001038,p4p
0.005347,p4p
0.007972,p4p
0.000437,p4p
0.000886,p4p
0.002871,p4p
0.000348,p4p
0.005332,p4p
0.011041,p4p
0.002719,p4p
0.009256,p4p
0.012043,p4p
0.006455,p4p
0.011221,p4p
