R,t,algo
0.049650,0.000985,real
0.066221,0.001025,real
0.027409,0.000710,real
0.018907,0.000367,real
0.025935,0.000501,real
0.054052,0.000454,real
0.057335,0.000571,real
0.056087,0.000175,real
0.102212,0.001299,real
0.102581,0.001625,real
0.077270,0.004875,real
0.137032,0.005002,real
0.231065,0.005229,real
0.197384,0.004362,real
0.187873,0.003498,real
0.129630,0.006689,real
0.123946,0.005043,real
0.056040,0.003857,real
0.089537,0.002223,real
0.099484,0.001660,real
0.034568,0.002739,real
0.078788,0.001595,real
0.085680,0.000390,real
0.042423,0.001821,real
0.092815,0.001243,real
0.084901,0.000612,real
0.111905,0.000657,real
0.034175,0.000714,real
0.105601,0.000716,real
0.063971,0.000695,real
0.076985,0.000699,real
0.092278,0.000543,real
0.071995,0.000475,real
0.040928,0.000322,real
0.080634,0.000603,real
0.054546,0.000800,real
0.045752,0.001073,real
0.023823,0.001266,real
0.091817,0.001476,real
0.048879,0.001704,real
0.042100,0.002003,real
0.092069,0.000841,real
0.069964,0.001436,real
0.176728,0.001321,real
0.137076,0.004761,real
0.121930,0.005071,real
0.327173,0.003274,real
0.298601,0.003042,real
