f,algo
0.0026006791,real
0.0021663181,real
0.0022631204,real
0.0015341697,real
0.0026209955,real
0.0023044348,real
0.0039737198,real
0.0030196838,real
0.0026099115,real
0.0053334976,real
0.0036862155,real
0.0032872300,real
0.0005398039,real
0.0033854300,real
0.0027632656,real
0.0053569674,real
0.0010266910,real
0.0014828352,real
0.0029424492,real
0.0028322006,real
0.0003931089,real
0.0014652348,real
0.0011720200,real
0.0021034751,real
0.0013451093,real
0.0024731235,real
0.0022748540,real
0.0003916093,real
0.0013552322,real
0.0023276552,real
0.0020035061,p35p
0.0013268834,p35p
0.0019532566,p35p
0.0019517923,p35p
0.0015579198,p35p
0.0011010862,p35p
0.0014305335,p35p
0.0015696334,p35p
0.0017043408,p35p
0.0016867703,p35p
0.0006340031,p35p
0.0007774957,p35p
0.0006706083,p35p
0.0007130704,p35p
0.0007526041,p35p
0.0007716388,p35p
0.0006545020,p35p
0.0007247841,p35p
0.0007072136,p35p
0.0007804241,p35p
0.0007687104,p35p
0.0007833525,p35p
0.0008565630,p35p
0.0012387219,p35p
0.0020484302,p35p
0.0016384513,p35p
0.0018800460,p35p
0.0023808060,p35p
0.0030323795,p35p
0.0017014124,p35p
0.0013382882,p35p
0.0016589503,p35p
0.0017819439,p35p
0.0010163986,p35p
0.0014513703,p35p
0.0015407079,p35p
0.0025346834,p35p
0.0024365479,p35p
0.0022782848,p35p
0.0027324766,p35p
0.0017589261,p35p
0.0022167491,p35p
0.0016014112,p35p
0.0056464380,p35p
0.0016277649,p35p
0.0012331522,p35p
0.0018536902,p35p
0.0006590481,p35p
0.0016154000,p35p
0.0004421915,p35p
0.0007923222,p35p
0.0024056975,p35p
0.0022592765,p35p
0.0013412166,p35p
0.0008875181,p35p
0.0007674249,p35p
0.0007674249,p35p
0.0007732831,p35p
0.0008567625,p35p
0.0008626207,p35p
0.0011537977,p35p
0.0015052082,p35p
0.0011435483,p35p
0.0010513030,p35p
0.0009004893,p35p
0.0007189273,p35p
0.0008067799,p35p
0.0007921378,p35p
0.0007584609,p35p
0.0039680099,p35p
0.0036927384,p35p
0.0039855805,p35p
0.0027002437,p35p
0.0029463863,p35p
0.0060803099,p35p
0.0051335213,p35p
0.0018760902,p4p
0.0012346167,p4p
0.0020498944,p4p
0.0019986471,p4p
0.0016238092,p4p
0.0011669756,p4p
0.0014876377,p4p
0.0016487008,p4p
