std0.0,std0.5,std1.0,std1.5
2.6932e-11,0.031839,0.0049509,-1
5.5366e-13,0.0018883,-1,0.10528
3.0072e-14,0.099162,0.020448,0.23701
4.1868e-09,-1,-1,-1
1.9674e-13,-1,0.014577,-1
1.2157e-14,0.030175,0.0463,0.053612
7.5398e-14,0.010648,-1,0.025397
8.7683e-12,0.02358,0.12557,-1
1.3897e-13,0.26126,-1,-1
9.875e-15,0.0084841,0.12424,0.032727
4.6902e-09,0.018586,0.90582,0.037582
4.3432e-15,0.010045,-1,-1
6.5807e-15,0.0043871,0.0085407,0.0042381
3.0328e-12,0.015834,0.052903,-1
1.303e-12,0.015969,0.036948,-1
1.2797e-14,0.0047059,0.013106,0.41614
5.806e-10,0.0083457,-1,-1
5.3034e-11,0.080151,0.013645,0.070369
9.1884e-15,0.017219,0.038928,-1
2.5276e-11,0.00023684,0.39956,0.0022241
1.3271e-14,0.055242,0.058827,0.027303
6.8524e-16,-1,0.0033403,0.048304
1.2661e-13,0.0055738,-1,0.01665
2.577e-13,0.0021034,-1,0.052191
3.8396e-14,0.013787,-1,0.12639
2.5838e-13,-1,0.064348,0.025774
5.8992e-14,-1,0.090929,0.01422
2.9201e-14,0.020715,0.020536,0.0032671
3.1472e-14,-1,0.0079424,0.38822
2.5536e-14,0.031871,-1,0.022273
5.0963e-14,0.0020261,0.056091,-1
1.3345e-10,0.022127,-1,0.12329
3.7674e-14,-1,-1,0.045487
2.8026e-11,-1,0.046752,-1
6.8203e-09,0.0041715,0.027894,0.089788
2.5477e-14,0.0059926,0.039308,0.019613
2.5084e-13,-1,0.049618,0.021621
1.5418e-15,0.21525,-1,0.013192
8.9939e-14,0.0054164,0.11426,0.037713
2.0566e-05,0.034966,0.035295,-1
8.259e-15,0.042966,0.015986,-1
2.0529e-14,0.0030837,-1,0.15623
2.5076e-13,0.018408,0.021668,-1
8.989e-14,0.07954,0.21426,0.011842
7.6898e-14,0.041566,0.077091,0.47103
3.9951e-14,0.014369,0.015874,0.15172
5.7309e-13,0.0031091,-1,0.086479
1.0304e-12,0.064702,0.039906,-1
6.9903e-13,0.013451,0.016376,0.036554
5.8005e-10,0.012329,-1,0.0032443
1.8974e-11,-1,0.0047063,-1
3.3116e-12,0.0031524,0.0053249,0.038132
1.5821e-13,0.0080405,0.010563,0.037502
8.4302e-11,0.01621,-1,-1
4.0923e-15,0.0015828,0.12351,0.0040294
1.004e-13,0.0089134,0.0029749,0.00066755
1.9831e-13,-1,0.26963,0.089506
1.6812e-14,0.044517,-1,0.11918
8.676e-14,0.10793,-1,-1
2.0166e-14,0.041398,0.058999,0.027043
1.4519e-14,-1,0.0038322,0.289
8.2151e-14,0.0004476,0.031436,0.037457
8.5226e-14,0.015897,-1,0.019091
1.0024e-13,0.0013873,-1,0.0017084
1.0938e-12,0.042101,0.0010714,0.021121
2.7382e-15,0.1185,0.021987,-1
3.3035e-15,0.10436,0.030633,0.036835
3.5936e-15,0.012693,0.033968,0.10202
1.5703e-14,-1,-1,0.71567
2.3415e-12,0.043647,0.032953,-1
1.7293e-13,0.023658,-1,0.032803
1.4145e-12,-1,-1,0.028848
8.7299e-14,0.00858,0.13041,0.0012603
1.1831e-13,-1,0.016947,0.023526
8.0771e-14,-1,-1,0.050049
1.6431e-13,0.0059729,-1,-1
2.0066e-13,0.029066,0.037798,-1
3.0409e-13,0.013988,0.066145,-1
1.3442e-09,0.026591,0.41623,0.04084
3.776e-13,0.069316,0.013845,0.024921
7.699e-13,-1,0.0030467,-1
3.0673e-15,0.0036165,0.10821,14.405
1.2314e-13,0.013221,0.03975,-1
5.8333e-14,-1,0.012403,0.021008
2.0561e-15,0.010901,0.033517,-1
4.348e-14,0.0031544,0.04459,-1
1.5181e-14,0.12565,-1,0.42991
2.7632e-16,-1,0.21475,0.12186
6.2246e-14,0.0072524,-1,0.026708
3.5701e-14,0.036363,0.0044314,0.11454
5.4333e-15,0.0061978,0.35578,-1
7.3999e-15,-1,0.0032193,0.097668
9.577e-15,0.009072,-1,1.9339
1.4732e-13,8.8779e-06,0.002429,0.0018006
2.9385e-12,0.092085,0.011246,-1
