dF,dR,dC,dt,N
1.1065e-05,3.5424e-06,8.9392e-05,0.000947,1
2.1243e-05,8.7594e-07,0.00023136,0.000899,1
0.00039165,2.3621e-05,0.0040639,0.000723,2
1.6411e-06,1.7925e-06,4.7329e-05,0.000735,2
0.00010059,4.0573e-05,0.0012273,0.000699,1
0.0016454,0.01023,0.23349,0.001465,1
4.7994e-06,9.9723e-07,3.9119e-05,0.000732,1
0.014759,0.015986,0.96276,0.000923,1
0.00010895,1.9286e-05,0.0015508,0.000899,1
0.0026967,0.00058086,0.051258,0.000645,1
0.00022114,0.00016336,0.0028485,0.000922,1
0.0029551,0.00076472,0.035459,0.000654,1
1.3205e-05,4.1794e-06,0.00018928,0.000915,1
7.1241e-06,1.4872e-05,0.00019198,0.000961,1
1.6543e-05,3.0128e-06,0.00031577,0.0009,1
5.7117e-07,5.4515e-07,9.426e-06,0.000725,1
2.9455e-05,3.1337e-05,0.00098899,0.00092,1
7.585e-06,1.5585e-06,8.2298e-05,0.000912,1
0.00051226,7.6706e-05,0.006072,0.001228,2
0.0042322,0.012232,0.29147,0.000919,1
4.4306e-05,4.977e-06,0.00049865,0.000673,2
0.0005511,0.00057635,0.020118,0.00095,1
0.00013783,1.2442e-05,0.0020729,0.001139,2
0.012693,0.00091097,0.15053,0.001148,1
6.4733e-06,6.1536e-06,0.0002058,0.000717,1
0.026187,0.0012496,0.27223,0.000902,1
0.00090464,0.000665,0.016361,0.000652,1
5.3271e-05,9.967e-07,0.002587,0.000687,2
1.8165e-06,9.4748e-06,8.5955e-05,0.000657,1
1.7154e-07,9.2845e-07,2.5551e-05,0.000887,1
2.7805e-05,1.0135e-05,0.0006679,0.000936,1
2.3273e-05,4.3065e-06,0.00033998,0.00101,2
0.00019621,1.4147e-05,0.001803,0.000674,2
0.0005632,0.014457,0.42084,0.000895,1
9.0776e-07,1.6774e-07,1.7486e-05,0.000896,1
0.00014241,7.3877e-05,0.00145,0.000909,1
4.2654e-06,7.955e-07,8.359e-05,0.000637,1
1.1349e-06,6.7546e-06,6.6508e-05,0.000925,1
8.7357e-06,2.6346e-06,0.00011092,0.000648,1
0.00059901,0.00010636,0.0047477,0.00092,1
1.3653e-06,5.0859e-07,2.8754e-05,0.000668,1
1.4284e-05,4.8829e-06,0.00043476,0.001044,1
0.00038256,5.1183e-05,0.0052014,0.000939,1
0.0015826,0.0008745,0.028342,0.00096,1
0.00013236,7.5774e-05,0.0025165,0.000668,1
1.1594e-05,9.07e-06,0.00037318,0.000898,1
3.873e-05,1.5207e-05,0.00039972,0.000713,1
0.0013012,0.00032594,0.046158,0.001211,1
0.00087559,0.00062086,0.029433,0.001123,1
0.0030455,0.003621,0.11452,0.001428,1
2.5095e-05,8.6347e-06,0.00039701,0.000698,1
1.1903e-05,2.8064e-05,0.00059946,0.000681,1
0.0070144,0.0026887,0.1739,0.000694,1
1.3611e-06,3.9566e-07,2.144e-05,0.000918,1
6.865e-06,5.4187e-06,0.00018386,0.001158,3
1.6715e-05,2.1052e-05,0.00056452,0.000679,1
1.6634e-05,5.6813e-06,0.00013106,0.000951,1
1.6342e-05,5.0917e-06,0.00022644,0.000633,1
2.0204e-06,2.3575e-06,0.00010321,0.0007,1
3.0197e-06,4.3217e-06,0.00016668,0.000671,1
0.00017828,0.00017685,0.012274,0.001191,1
0.0017852,0.00030768,0.013795,0.000889,1
7.6023e-07,2.1453e-06,0.00012406,0.000884,1
1.3939e-06,5.0367e-06,0.00010148,0.001136,2
7.7833e-05,2.2712e-05,0.0012652,0.000928,1
3.0605e-05,1.679e-05,0.00074311,0.000925,1
