dF,dR,dC,dt,N
0.0001163,5.965e-07,0.0015186,0.000157,1
2.0016e-06,1.4735e-06,4.778e-05,0.000157,1
8.6384e-06,3.8172e-07,3.6916e-05,0.000144,1
9.6705e-05,7.4685e-06,0.00099944,0.000647,1
2.7728e-05,2.9127e-06,0.00034086,0.000145,1
8.86e-07,1.682e-07,1.3218e-05,0.000155,1
6.7859e-05,2.6392e-07,0.0011166,0.000141,1
1.0305e-05,3.6129e-07,0.00012507,0.000155,1
4.2342e-05,4.7977e-07,0.00040858,0.000143,1
3.437e-06,1.1238e-07,6.7848e-05,0.00015,1
2.2601e-05,5.7173e-07,0.00025803,0.000167,1
2.8268e-05,1.1221e-06,0.0002368,0.000265,1
6.4383e-06,7.0915e-07,9.757e-05,0.000264,1
0.00016445,4.3834e-07,0.0016978,0.000257,1
1.0027e-05,1.6882e-06,0.00014788,0.001133,1
7.7191e-06,5.6468e-07,9.5586e-05,0.000144,1
0.056048,0.0016644,0.94134,0.000145,1
5.5416e-05,1.6463e-06,0.00047405,0.000164,1
1.0179e-05,4.1685e-06,2.7261e-05,0.000152,1
1.4743e-05,2.8225e-06,0.00020085,0.000153,1
7.1511e-06,2.3599e-07,6.6491e-05,0.000158,1
1.6027e-05,1.3562e-06,0.00019375,0.000243,1
2.7543e-05,1.6568e-06,0.00029791,0.000212,1
3.6316e-05,2.2519e-06,0.00038527,0.001039,1
6.1831e-05,7.1335e-06,0.00094551,0.000172,1
6.7365e-05,4.5351e-07,0.0011457,0.000148,1
1.6882e-06,4.4397e-07,4.2322e-05,0.000147,1
0.00047521,2.7703e-05,0.0030825,0.000151,1
8.4541e-06,6.6503e-07,8.6604e-05,0.000151,1
2.8674e-06,3.5912e-07,3.6403e-05,0.000141,1
1.2349e-05,6.9883e-07,0.00033722,0.000157,1
7.0142e-06,1.5634e-06,0.0012242,0.000153,1
2.6852e-05,2.0098e-06,0.00019156,0.000154,1
2.3934e-05,4.5776e-07,0.0002229,0.000152,1
5.8316e-05,2.9758e-06,0.00062434,0.000143,1
6.0178e-05,4.8011e-06,0.0017839,0.000247,1
4.7546e-05,1.799e-06,0.00087366,0.000276,1
9.5262e-06,7.6704e-07,9.9087e-05,0.000161,1
2.9561e-06,1.1808e-06,3.4957e-05,0.000874,1
4.9543e-06,3.652e-07,2.6382e-05,0.000143,1
1.557e-05,5.5737e-08,0.00053827,0.000162,1
5.9248e-05,1.1072e-05,0.0016237,0.000155,1
9.4465e-06,4.5604e-07,0.0001646,0.000158,1
0.0003172,1.661e-05,0.0030064,0.000155,1
0.00017413,7.2466e-06,0.0026361,0.000148,1
2.6092e-06,2.9039e-06,0.00011042,0.000153,1
2.0863e-06,2.3826e-07,5.8814e-05,0.000145,1
3.4017e-05,5.613e-07,0.00034554,0.000156,1
1.0481e-05,4.2237e-07,0.00017181,0.000155,1
5.9145e-06,5.6655e-07,5.4069e-05,0.000999,1
3.6439e-06,5.5133e-07,3.9514e-05,0.000176,1
1.7098e-06,3.1203e-07,1.9078e-05,0.000163,1
3.4377e-05,2.995e-07,0.00078355,0.000148,1
6.2279e-06,2.033e-06,0.00013969,0.000148,1
3.4313e-06,9.0649e-07,3.4089e-05,0.000152,1
1.7784e-05,1.2649e-07,0.00018383,0.000159,1
0.00012159,3.5996e-06,0.0012917,0.000171,1
1.0139e-05,3.5898e-07,0.00042304,0.000162,1
0.00022723,8.2359e-06,0.002131,0.000154,1
2.8744e-05,2.7882e-06,0.00022482,0.000122,1
2.3371e-06,1.7879e-06,6.591e-05,0.000661,1
1.0327e-05,5.7836e-07,0.00018396,0.000255,1
4.4314e-05,4.8065e-06,0.0010479,0.000157,1
3.4374e-05,1.5788e-06,0.00073295,0.000148,1
6.2338e-05,7.39e-07,0.00099288,0.000153,1
8.3126e-05,2.5834e-06,0.00095139,0.000152,1
2.2349e-06,1.034e-07,3.1444e-05,0.000665,1
2.5938e-05,3.7292e-07,0.00036492,0.000257,1
5.461e-06,8.219e-07,6.9961e-05,0.000174,1
3.4558e-06,9.3924e-07,4.5544e-05,0.000204,1
5.5208e-05,7.5305e-07,0.00072911,0.000149,1
2.3472e-06,7.5091e-08,3.1756e-05,0.000175,1
3.1802e-05,8.4774e-06,0.0013694,0.00098,1
1.8429e-05,4.0806e-07,0.00021575,0.000154,1
4.8796e-05,3.9085e-06,0.00104,0.000175,1
3.2904e-05,1.6904e-06,0.00056109,0.000143,1
1.0918e-05,1.0616e-05,0.00041036,0.000146,1
4.7477e-05,3.3672e-06,0.00052114,0.000149,1
2.9128e-05,2.0265e-07,0.00028507,0.000146,1
2.4479e-05,1.9109e-06,0.00023041,0.000138,1
6.9665e-07,7.7973e-07,4.5379e-05,0.00027,1
6.1606e-06,1.8484e-07,0.00023961,0.001135,1
7.5602e-05,9.9143e-07,0.00047849,0.000145,1
1.7558e-06,3.4678e-07,3.1061e-05,0.000162,1
6.4091e-05,2.8913e-06,0.00055365,0.000151,1
1.2306e-05,1.2522e-07,0.00012786,0.000153,1
1.2424e-05,1.0033e-06,0.00020369,0.000144,1
2.7906e-06,9.019e-07,1.2374e-05,0.00016,1
2.7117e-05,1.458e-06,0.00021787,0.000149,1
7.4803e-06,8.8471e-07,0.000108,0.000141,1
2.7763e-05,2.3753e-06,0.00028641,0.000242,1
4.5477e-05,1.3534e-06,0.00051915,0.000157,1
4.6825e-05,2.0879e-06,0.00065077,0.000134,1
2.5376e-05,1.1951e-06,7.5012e-05,0.001114,1
2.0909e-05,6.8748e-06,0.00043113,0.000149,1
3.4785e-06,1.6278e-06,7.0116e-05,0.000162,1
5.148e-06,1.3094e-07,6.3828e-05,0.000157,1
5.8468e-05,2.6936e-06,0.00099631,0.000169,1
3.3612e-05,8.8735e-07,0.00050233,0.00016,1
2.3624e-06,1.1477e-07,1.8548e-05,0.000149,1
3.5702e-05,1.381e-06,0.00045635,0.000145,1
5.87e-05,3.1654e-06,0.00077616,0.000228,1
2.1129e-06,1.2175e-07,2.5694e-05,0.000153,1
3.512e-05,6.9809e-06,0.00028209,0.000152,1
6.728e-05,1.8867e-06,0.001063,0.000154,1
0.0001092,4.8067e-06,0.0040924,0.00014,1
2.4757e-06,3.03e-07,2.0666e-05,0.000194,1
2.9112e-05,5.8663e-06,0.00031574,0.000157,1
8.7677e-05,1.2593e-07,0.0010601,0.000156,1
1.8158e-05,3.7227e-07,0.00026306,0.000768,1
1.2783e-05,8.0942e-07,8.9848e-05,0.000148,1
1.1872e-05,5.5456e-07,0.00018483,0.000148,1
0.00011539,7.4029e-07,0.0011705,0.000153,1
1.2246e-06,1.6986e-07,6.8533e-06,0.000155,1
5.5198e-05,2.4862e-06,0.00062369,0.000151,1
1.8826e-05,2.094e-07,0.00018397,0.000145,1
6.2866e-07,2.665e-07,1.3871e-05,0.000139,1
3.9415e-06,3.7978e-07,1.3746e-05,0.000191,1
8.8809e-05,2.6183e-06,0.000952,0.000756,1
6.7928e-05,5.6016e-06,0.0021822,0.000152,1
0.0002701,1.0977e-06,0.0025491,0.000228,1
5.706e-06,3.3511e-07,9.7782e-05,0.000151,1
4.3276e-05,2.8255e-06,0.00052931,0.000148,1
3.3735e-05,2.6551e-07,0.00044337,0.000148,1
3.5022e-05,9.4825e-07,0.00049239,0.000141,1
1.0088e-06,4.4223e-07,3.845e-05,0.000148,1
2.0986e-05,1.2023e-06,0.00018208,0.000977,1
2.0795e-06,2.7627e-07,1.7144e-05,0.000155,1
9.7842e-05,3.7609e-05,0.00031465,0.000162,1
1.5109e-05,6.9538e-07,0.00016818,0.000173,1
0.00015772,3.1507e-06,0.0024094,0.000157,1
3.1747e-05,3.8817e-06,0.00092541,0.000163,1
1.9856e-06,1.0994e-07,3.3833e-05,0.000256,1
0.00027083,1.9235e-06,0.010155,0.000266,1
1.6984e-05,8.4019e-07,0.0002773,0.000277,1
2.1992e-05,2.7492e-07,0.00016744,0.001037,1
3.2593e-05,4.0126e-07,0.00071203,0.000162,1
0.0002045,1.4545e-05,0.0030912,0.000167,1
1.4979e-05,3.1396e-06,0.00023723,0.000154,1
6.674e-06,2.2913e-07,5.8599e-05,0.00015,1
6.5566e-05,1.6075e-06,0.0022799,0.000233,1
4.3825e-06,5.2196e-07,2.9978e-05,0.000148,1
2.4451e-05,1.8819e-06,0.00043995,0.000148,1
0.00018914,8.3614e-06,0.0035916,0.000146,1
1.1217e-05,6.1227e-07,0.00023244,0.000144,1
6.8939e-06,4.958e-07,0.0001296,0.000153,1
0.00044636,2.3445e-05,0.010501,0.000147,1
6.4916e-05,3.2898e-07,0.00075662,0.000149,1
4.8283e-05,7.5061e-07,0.00052763,0.000152,1
0.00016779,1.1445e-06,0.0027962,0.000159,1
4.1113e-05,1.0464e-06,0.00044493,0.000161,1
0.00011881,6.5983e-07,0.0013046,0.00015,1
1.6663e-05,1.9422e-06,0.00020134,0.00016,1
9.2949e-05,1.7213e-06,0.002114,0.000714,1
2.5049e-05,6.0187e-07,0.00042609,0.00016,1
7.7448e-05,2.0032e-06,0.00068125,0.000153,1
0.00051877,1.2702e-05,0.0086382,0.000154,1
1.6481e-05,2.4681e-06,0.00031465,0.000304,1
4.5706e-06,3.25e-07,0.00018177,0.000147,1
3.5799e-06,1.9396e-07,4.1057e-05,0.000163,1
0.00019423,1.1707e-05,0.0030346,0.000149,1
3.4214e-06,3.8801e-07,4.9329e-05,0.00015,1
1.9091e-06,1.3995e-07,3.963e-05,0.000151,1
3.0534e-06,3.7504e-06,0.00010651,0.000147,1
1.3173e-05,7.4344e-07,0.00023225,0.000144,1
2.0734e-06,8.2411e-07,1.4814e-05,0.000157,1
7.7213e-06,4.0141e-06,0.00014998,0.000149,1
2.8092e-06,1.891e-07,3.0369e-05,0.00017,1
5.3899e-05,2.6457e-06,0.00047296,0.000263,1
5.846e-05,3.2952e-06,0.0046283,0.000265,1
0.00010689,3.8539e-06,0.0014347,0.000143,1
2.5834e-05,2.1808e-06,0.00033062,0.000155,1
1.3274e-05,1.3941e-07,0.0003652,0.00014,1
6.5807e-06,6.9372e-07,5.909e-05,0.000168,1
2.9336e-05,4.0154e-06,0.00037085,0.000147,1
6.523e-05,7.5842e-06,0.00088007,0.000144,1
8.4983e-06,5.7531e-07,0.00013279,0.000142,1
2.4925e-05,8.6397e-07,0.00030321,0.000148,1
0.00014513,6.1818e-06,0.0026009,0.000179,1
4.0698e-06,1.6067e-06,8.1064e-05,0.00015,1
6.6225e-06,2.8101e-06,0.0001232,0.000159,1
2.6708e-05,3.6774e-06,0.00020599,0.000161,1
1.0113e-05,5.2229e-07,9.6781e-05,0.000161,1
1.2548e-05,8.6802e-07,0.00019493,0.000179,1
0.00033384,3.0292e-06,0.0033561,0.000191,1
1.6032e-05,5.3028e-06,0.00033855,0.00015,1
1.8729e-05,2.2192e-06,0.00015588,0.000152,1
3.1516e-06,6.0715e-07,4.7685e-05,0.000159,1
0.00067218,5.2664e-05,0.012772,0.000159,1
1.2926e-05,4.5505e-06,0.00017325,0.000162,1
8.9114e-05,8.6327e-06,0.00023442,0.000156,1
6.096e-06,1.931e-06,0.00010707,0.000153,1
7.693e-05,2.4267e-07,0.0010952,0.000159,1
2.7664e-05,1.7444e-06,0.0002635,0.000148,1
4.3516e-05,1.9957e-06,0.00064076,0.00014,1
1.4146e-05,7.7814e-07,0.00039572,0.000149,1
7.2523e-05,6.5733e-06,0.00095246,0.000686,1
1.7461e-05,4.5927e-07,0.00016034,0.000268,1
0.00010413,8.5643e-07,0.0011557,0.000154,1
7.7469e-06,2.1176e-07,6.8237e-05,0.000154,1
1.4095e-05,5.1637e-07,0.00066587,0.000153,1
1.3913e-05,4.0122e-06,0.00012557,0.000152,1
7.7059e-05,1.6758e-06,0.00094053,0.000235,1
1.5833e-05,3.3061e-07,0.00037006,0.000155,1
2.879e-05,2.1569e-06,0.00022057,0.000781,1
8.3214e-05,3.8224e-07,0.0013227,0.000254,1
3.8775e-06,4.4136e-07,4.8785e-05,0.000266,1
3.2057e-05,1.1403e-06,0.00063548,0.000257,1
5.5895e-06,3.8593e-07,5.5067e-05,0.000252,1
9.1925e-05,4.937e-07,0.0012557,0.000275,1
9.0107e-06,9.8254e-07,7.6796e-05,0.000274,1
0.00051505,0.00011847,0.012843,0.000984,1
5.408e-05,1.7209e-06,0.00065074,0.000161,1
1.0279e-05,4.5987e-07,8.356e-05,0.000148,1
9.77e-07,5.4363e-07,3.7068e-05,0.000142,1
4.8675e-05,3.5172e-07,0.00065827,0.000161,1
2.7539e-05,1.0659e-05,0.00051811,0.000145,1
1.2481e-07,9.486e-07,0.00016167,0.00015,1
2.3852e-06,2.627e-07,5.0957e-05,0.000148,1
0.00010176,7.747e-07,0.001977,0.000168,1
3.8242e-06,4.0605e-07,1.1246e-05,0.00016,1
4.566e-05,2.6307e-06,0.00043023,0.000152,1
6.7999e-05,1.1136e-06,0.00069011,0.000147,1
4.4071e-06,6.936e-06,0.00027544,0.000151,1
2.0349e-05,1.171e-07,0.00019311,0.000151,1
3.7882e-05,1.3513e-06,0.00046275,0.000142,1
3.0198e-05,5.4304e-07,0.0004157,0.000149,1
2.5512e-05,2.6351e-06,0.00023221,0.000143,1
0.00010603,2.639e-06,0.00089804,0.000143,1
1.0957e-06,1.3476e-06,2.8e-05,0.000147,1
6.8242e-06,7.4837e-07,8.0042e-05,0.000156,1
5.1659e-05,1.3223e-06,0.0011292,0.000145,1
