dx
4.3916e-15
1.6663e-15
1.5438e-15
8.8476e-16
7.1495e-14
2.5051e-15
1.024e-14
3.3848e-13
2.0199e-14
6.7987e-15
1.2903e-13
1.3561e-15
6.1637e-12
7.9257e-14
1.5213e-15
2.8911e-13
1.3534e-14
1.2685e-14
5.7591e-13
1.8788e-12
1.0542e-13
5.4362e-16
4.2419e-14
5.8601e-15
7.8339e-16
1.3677e-14
3.2467e-16
5.0465e-16
8.2331e-12
7.3596e-12
9.3606e-16
5.9282e-15
2.4984e-15
2.5603e-15
1.7675e-12
1.9345e-16
9.3627e-14
9.293e-15
2.4533e-16
5.9026e-16
1.1511e-13
4.086e-16
1.789e-13
4.4409e-15
3.4263e-15
2.0411e-15
1.2583e-15
4.2248e-14
5.364e-15
6.0087e-13
1.2272e-14
1.1041e-14
1.5945e-11
1.4676e-14
3.4051e-15
3.625e-15
9.1861e-14
4.2128e-16
3.298e-16
2.746e-15
1.1753e-15
1.8284e-15
4.3287e-16
6.0821e-15
2.8062e-13
1.0227e-14
1.4834e-12
3.9107e-15
1.4175e-14
2.1937e-13
2.5351e-15
2.0153e-15
2.1538e-15
6.783e-14
5.4028e-14
8.0936e-15
4.0264e-14
2.917e-16
2.0789e-13
2.2846e-13
3.2759e-13
1.974e-10
4.7406e-14
1.399e-14
1.6371e-14
5.5984e-15
1.8899e-15
6.6317e-14
1.1011e-13
1.6694e-13
9.4498e-13
1.5097e-15
4.7551e-13
2.4428e-13
1.4472e-15
5.0495e-14
1.7628e-15
4.098e-15
5.3389e-16
1.0387e-15
3.5041e-15
9.5274e-14
6.9618e-09
4.1742e-15
1.5189e-14
1.5642e-15
7.6483e-15
5.6168e-15
9.3601e-16
3.2977e-14
5.7235e-14
9.5031e-15
9.1278e-13
4.1427e-15
1.4275e-14
1.0169e-15
2.0724e-15
2.3913e-13
1.283e-14
2.5823e-15
5.5912e-15
1.1073e-15
1.4867e-14
4.4314e-14
1.5852e-14
8.5861e-12
5.6316e-13
3.3857e-16
3.1683e-15
8.9071e-16
5.8265e-13
4.962e-16
2.022e-15
1.5025e-15
1.884e-14
9.8623e-15
3.1563e-14
2.6832e-14
6.6806e-15
3.0032e-14
2.3729e-13
6.1577e-16
1.2315e-14
1.1065e-15
5.0308e-13
1.9162e-15
6.6134e-16
2.4144e-14
4.559e-16
8.0758e-16
2.1709e-15
2.5809e-14
7.016e-14
1.6563e-15
4.3916e-16
5.0871e-15
3.6545e-15
1.0688e-11
2.533e-11
2.0869e-16
7.0523e-16
2.7219e-13
1.1368e-15
2.2727e-15
2.5779e-15
4.0239e-15
2.9399e-15
2.2462e-14
2.1749e-16
4.611e-13
7.3811e-15
5.6885e-16
4.0541e-16
2.8973e-14
9.7373e-15
1.176e-14
5.5487e-13
4.6563e-15
1.1194e-15
1.6476e-13
4.6077e-16
2.97e-15
7.5627e-16
1.1538e-15
1.4135e-15
1.0285e-10
2.6512e-09
4.549e-14
1.4573e-15
8.0456e-13
2.5586e-15
3.8568e-13
4.6327e-15
3.2499e-14
2.2176e-12
6.1054e-16
4.225e-14
1.4248e-15
1.9892e-10
7.6596e-09
4.952e-16
7.4825e-15
4.0798e-13
2.0493e-14
9.874e-15
3.031e-16
8.4114e-16
7.194e-15
3.9867e-14
2.3169e-13
2.1253e-14
1.9918e-15
2.3034e-14
5.2126e-14
2.4693e-14
8.9182e-16
7.2557e-14
4.9105e-16
4.0251e-15
9.8785e-16
3.3791e-15
5.653e-16
6.4276e-16
5.2312e-15
4.0224e-14
9.0432e-16
4.6606e-12
1.9135e-15
8.7703e-13
3.8173e-14
1.6352e-14
1.0543e-12
1.6284e-15
5.5004e-15
9.4737e-16
2.3876e-16
1.3332e-15
1.532e-15
3.7232e-15
4.4828e-14
5.2454e-16
1.5423e-14
2.4168e-16
9.4797e-14
1.6594e-15
5.1608e-16
2.9316e-14
4.8646e-14
1.4097e-15
6.5173e-16
6.6529e-16
1.8569e-15
5.5822e-15
3.2181e-14
1.6579e-11
4.5811e-15
1.2479e-15
2.5494e-15
3.2185e-16
1.408e-15
2.8049e-15
1.0874e-12
1.4487e-15
2.9252e-15
2.651e-13
3.4204e-15
5.6718e-14
5.0652e-15
1.9011e-14
4.5159e-16
1.3637e-14
2.2506e-15
1.7932e-15
1.0444e-14
2.5323e-15
7.1007e-15
2.8311e-13
5.5888e-14
2.0795e-15
4.9892e-16
1.3182e-15
4.8713e-15
1.5005e-15
1.776e-15
6.407e-12
1.3739e-11
2.6498e-14
