df
1.2929e-14
4.8892e-12
1.1388e-14
3.7411e-10
1.0922e-14
9.3127e-14
5.6131e-14
3.5964e-14
1.5629e-11
1.1305e-10
2.3262e-13
1.1212e-12
3.3639e-13
9.4134e-11
8.7014e-13
1.0694e-15
6.9458e-14
4.5854e-15
8.6357e-15
9.2122e-15
1.0389e-11
1.2689e-14
2.9183e-14
6.5683e-15
1.4407e-13
4.6955e-14
4.6008e-15
2.1271e-14
1.4727e-13
4.7953e-16
2.6452e-14
6.1378e-14
5.3073e-14
2.2602e-10
3.1504e-14
1.6333e-14
1.0817e-15
3.1789e-13
5.6277e-13
8.5707e-15
1.612e-14
8.5701e-15
1.4449e-14
5.7142e-14
1.252e-12
2.149e-14
6.0838e-14
2.1517e-16
1.9671e-13
9.0585e-14
3.703e-12
3.4928e-13
1.4717e-14
1.7132e-12
3.7084e-15
8.8752e-15
5.2798e-15
1.1388e-10
2.5148e-14
1.2566e-14
9.977e-14
3.3692e-12
1.5442e-15
7.5914e-15
2.5364e-12
1.011e-13
1.8084e-13
8.8629e-15
5.4536e-13
6.5649e-14
6.692e-08
6.1728e-09
4.4628e-12
4.7282e-14
3.8439e-14
7.0756e-14
3.1457e-12
4.0317e-14
2.195e-13
7.6375e-10
3.7292e-10
6.5455e-12
1.3125e-13
9.8981e-13
2.2274e-14
1.5017e-14
4.2242e-10
1.7794e-14
7.527e-12
1.3216e-13
8.8194e-16
3.2255e-15
1.243e-11
0
1.2961e-14
8.63e-11
1.6198e-12
1.2305e-08
8.5856e-12
1.0444e-13
5.828e-13
1.7036e-15
1.7264e-12
2.7972e-15
6.0817e-12
4.0683e-11
3.164e-13
2.9016e-15
2.4069e-15
1.4928e-15
1.9495e-11
1.4503e-13
2.1371e-09
8.1445e-12
2.1094e-14
6.5608e-11
1.477e-14
1.4734e-10
1.7178e-12
2.6511e-16
3.5852e-14
6.1697e-14
1.1937e-14
8.3714e-13
4.1363e-14
3.0574e-13
2.3899e-13
1.1879e-15
7.3794e-15
3.276e-13
2.5188e-14
1.1487e-12
5.0106e-13
1.4524e-12
2.415e-11
3.1586e-14
8.5172e-11
1.138e-11
2.8786e-14
1.145e-12
1.7051e-09
1.6641e-14
3.8397e-14
3.3001e-13
2.9732e-13
4.873e-11
4.1945e-09
8.2962e-10
9.011e-10
4.9271e-14
2.1793e-10
9.5323e-15
4.6649e-13
1.7525e-14
5.2552e-15
1.1178e-13
5.7609e-14
1.0102e-14
6.8022e-15
4.2101e-09
3.0571e-14
3.3896e-12
2.8474e-15
1.1998e-11
2.2893e-15
9.173e-15
1.0839e-14
4.9554e-15
1.3887e-15
5.2177e-15
1.4234e-14
1.5834e-13
7.5349e-13
2.5478e-14
6.4739e-15
1.6897e-11
1.9726e-13
4.9357e-13
5.7734e-13
1.2436e-14
2.9129e-13
1.1122e-12
2.755e-12
1.3598e-14
3.4916e-15
0.017447
9.7574e-09
1.1754e-14
4.8974e-08
9.6783e-14
3.3249e-15
2.5152e-12
2.6641e-15
5.5978e-14
1.0193e-08
2.3603e-13
2.183e-14
6.4055e-15
1.4503e-11
3.3995e-15
1.6426e-15
2.5185e-13
6.5015e-15
8.2944e-14
7.5094e-15
1.8684e-14
1.3921e-14
8.13e-12
1.1649e-08
7.0208e-07
2.3536e-11
1.9967e-15
1.1906e-12
2.7601e-12
1.8489e-14
4.4975e-13
8.7501e-14
7.4309e-14
9.0438e-15
3.0954e-14
9.2321e-13
6.2045e-09
6.9992e-15
2.3115e-15
6.9539e-14
1.1537e-10
9.8e-11
8.1905e-15
1.435e-14
9.1796e-14
2.2847e-13
1.3041e-15
5.628e-12
9.7611e-14
3.9272e-13
1.8121e-14
6.6058e-15
2.7751e-13
4.1899e-14
9.9863e-16
2.4698e-13
3.8866e-14
2.5294e-15
1.5419e-14
1.6902e-11
2.4555e-08
4.5241e-16
7.4396e-15
2.0566e-11
1.9618e-11
8.611e-15
2.6503e-07
3.8013e-12
8.0134e-07
2.1027e-10
6.1232e-09
4.715e-14
6.4801e-11
2.7604e-16
2.15e-14
1.6168e-14
6.3237e-14
1.8167e-11
2.0123e-14
3.726e-12
2.949e-14
1.389e-14
2.8177e-12
8.4619e-09
4.4271e-16
3.2116e-15
5.8672e-15
2.7856e-13
1.0688e-10
8.3579e-13
6.8086e-14
2.0182e-14
9.2568e-12
1.1533e-13
3.1403e-13
5.9402e-15
1.3603e-15
6.199e-12
8.6601e-12
2.1521e-12
1.1545e-12
1.1699e-14
1.7103e-13
1.4567e-10
2.2167e-14
1.9308e-11
5.6392e-16
6.5921e-11
3.1431e-13
4.7303e-13
2.4574e-14
1.1572e-11
4.0712e-14
2.1413e-12
7.5988e-15
2.8975e-15
8.0349e-15
5.7545e-14
1.6226e-13
3.9125e-13
5.8635e-11
4.0552e-13
1.6796e-14
2.2782e-13
5.4214e-11
2.4097e-09
1.6288e-14
4.0478e-14
5.5304e-15
3.4316e-14
5.4046e-12
2.1828e-12
6.9668e-15
2.6261e-13
5.2396e-14
2.7012e-14
2.5993e-14
3.7863e-14
1.1938e-10
5.3659e-14
1.6879e-13
1.976e-14
5.7532e-13
4.1606e-15
2.7123e-13
1.256e-14
1.3336e-13
4.5945e-14
5.7247e-13
4.7242e-14
7.6788e-12
6.222e-15
7.6122e-12
7.5607e-15
7.1539e-10
2.713e-15
5.8467e-14
1.3678e-13
1.9535e-13
9.0847e-14
4.0845e-12
5.4455e-15
3.5569e-14
5.3039e-14
2.3355e-13
1.5525e-15
3.9695e-15
1.1517e-10
3.2591e-13
1.1547e-14
1.5614e-14
1.6374e-14
8.526e-10
4.9554e-12
7.5267e-15
3.871e-15
6.2569e-10
1.5215e-14
4.6524e-14
1.8425e-13
6.7464e-14
2.0114e-14
1.4324e-14
6.5867e-11
3.8294e-08
1.5875e-13
7.8216e-16
8.014e-13
1.5358e-12
1.6521e-15
2.0553e-14
1.827e-14
7.3664e-14
7.613e-14
2.4212e-14
9.3056e-13
1.4424e-14
2.9539e-13
1.1284e-15
1.9713e-09
3.0229e-15
1.4897e-10
1.2551e-14
3.8923e-14
3.6025e-16
3.256e-11
5.9894e-13
3.5234e-13
4.7811e-12
1.107e-13
6.8521e-11
1.8354e-14
2.2729e-15
5.8746e-14
2.8662e-15
2.5287e-14
5.669e-11
3.8906e-14
9.2674e-15
1.3444e-16
3.5501e-15
1.6745e-13
1.1082e-14
3.583e-15
2.2382e-14
6.4432e-15
1.8551e-14
6.6517e-15
6.0746e-15
3.3621e-12
2.5456e-13
2.33e-15
2.8275e-14
2.2274e-13
1.9067e-12
1.2091e-12
1.0564e-14
8.9466e-14
8.621e-10
2.9578e-12
1.1997e-14
4.4438e-14
1.0786e-12
2.1769e-12
3.4793e-16
2.0429e-10
1.0584e-14
1.5007e-12
5.2609e-13
1.4434e-13
3.4495e-11
6.1889e-15
3.8577e-16
4.2129e-14
2.9008e-14
8.8835e-13
5.3277e-14
3.2776e-15
9.0968e-14
6.7257e-13
2.8455e-12
1.9402e-16
3.5319e-12
1.2877e-10
2.8765e-14
6.959e-15
3.9522e-14
9.7849e-14
1.4114e-13
1.3707e-13
2.9932e-12
8.8104e-14
1.1514e-14
2.0966e-07
1.1587e-15
2.7581e-14
3.4114e-14
9.0104e-14
3.1881e-14
3.3839e-15
2.7597e-14
4.3828e-16
6.4925e-14
1.9768e-13
2.941e-11
7.9774e-15
3.7094e-11
1.5421e-10
3.7407e-12
9.1695e-12
4.4147e-14
3.0746e-14
4.4615e-15
1.4118e-12
4.8757e-13
1.272e-13
4.3918e-13
2.177e-14
1.6963e-09
5.8154e-10
5.284e-12
7.7177e-15
1.3641e-11
4.6658e-14
2.2421e-12
8.6964e-13
1.2001e-14
9.4583e-15
2.2024e-12
2.5823e-14
5.0937e-12
9.9274e-11
2.1865e-12
2.6036e-16
2.877e-10
2.6472e-11
2.058e-09
9.24e-13
2.5667e-16
9.4086e-13
4.9446e-11
3.4069e-14
3.9555e-15
2.8853e-14
2.9422e-10
4.5829e-14
1.9681e-14
2.9442e-13
5.7849e-09
4.3588e-11
3.3171e-14
0.9351
9.0681e-13
6.8254e-13
2.0666e-14
5.4887e-15
7.4623e-16
1.8328e-14
1.4526e-16
6.8835e-15
3.4144e-13
5.9793e-15
1.257e-10
1.2803e-14
1.8363e-12
7.5404e-15
1.3885e-14
2.1806e-13
8.5193e-16
1.1076e-14
3.8142e-14
1.0396e-11
1.9075e-11
8.8277e-12
1.0065e-14
1.5773e-14
1.6097e-13
2.6094e-14
2.8992e-12
7.3605e-14
2.1096e-14
5.067e-14
8.1121e-15
2.6255e-15
4.0908e-15
1.7901e-14
1.3004e-15
1.9233e-08
1.2148e-16
2.0193e-16
2.5067e-13
7.3403e-15
2.9291e-09
9.6752e-12
4.4412e-15
4.5219e-10
7.5984e-14
4.6095e-14
2.1187e-11
7.1963e-15
1.8113e-14
1.3099e-14
8.0939e-14
2.2078e-11
1.5916e-11
1.7577e-13
1.285e-14
2.5277e-14
1.0635e-11
2.396e-13
1.6011e-14
2.8914e-15
3.0379e-14
2.1835e-14
7.2201e-12
1.6584e-15
3.4927e-14
1.0134e-14
4.3499e-13
1.438e-14
2.8003e-09
1.1682e-13
3.9617e-15
1.6506e-11
3.8657e-14
5.2608e-15
9.525e-14
9.9072e-14
1.6137e-15
5.8521e-12
2.853e-12
2.9893e-10
1.862e-15
3.5941e-13
5.2438e-15
7.4437e-15
2.047e-14
3.5036e-14
3.6633e-15
3.7695e-14
2.8123e-15
5.9283e-15
8.695e-14
3.5643e-14
5.1374e-15
1.8556e-14
1.0695e-14
7.8739e-11
1.4311e-09
5.5068e-13
1.893e-14
7.7569e-12
1.9249e-13
1.0706e-13
6.6046e-14
2.0549e-12
1.481e-13
3.306e-15
1.4908e-13
1.0367e-12
1.9043e-14
2.7127e-10
4.5386e-12
3.371e-13
9.3117e-14
8.6874e-14
1.023e-13
7.0642e-15
2.4243e-13
5.3109e-11
4.1637e-15
4.5476e-14
8.0772e-14
2.2592e-14
1.3207e-09
9.0354e-15
4.2827e-09
2.5143e-13
1.0713e-12
1.4051e-14
3.5847e-13
3.7133e-11
2.5795e-13
4.9321e-15
1.5028e-14
6.2562e-15
1.3429e-15
2.5292e-14
1.0442e-10
3.9245e-14
3.9174e-14
2.8494e-13
7.7576e-11
7.5528e-14
3.8451e-14
7.0097e-15
2.9392e-13
1.123e-14
5.2853e-16
6.708e-15
2.0394e-14
1.3207e-11
3.1851e-14
5.7554e-11
1.6471e-13
4.7993e-14
2.3492e-14
1.117e-14
7.1921e-15
2.7559e-13
4.1385e-15
3.3391e-15
1.6101e-14
2.6107e-14
2.7699e-15
8.0588e-12
3.5664e-12
4.4786e-13
4.1962e-10
1.6324e-15
2.7752e-12
6.1633e-14
1.7037e-14
2.3316e-12
1.0013e-12
2.7937e-10
2.3227e-14
1.9493e-14
1.8157e-13
1.0617e-14
5.7498e-14
2.5667e-13
8.8878e-15
7.674e-13
2.7939e-09
6.067e-14
4.7122e-13
3.7148e-14
3.7672e-15
4.8864e-10
3.465e-14
7.1286e-13
2.9059e-12
7.5741e-12
2.0492e-11
4.5507e-11
1.0259e-14
1.1849e-13
4.2295e-12
3.5786e-10
5.6981e-13
1.3501e-15
1.6452e-13
1.6353e-13
4.3256e-13
1.6262e-14
6.3728e-10
3.1578e-15
5.2267e-14
6.6482e-15
8.4291e-15
2.3753e-15
3.3281e-11
7.2512e-15
7.803e-15
3.1027e-11
1.1776e-08
9.3625e-14
2.2101e-14
2.5385e-15
1.0302e-11
1.0153e-13
6.5436e-15
